week_index,week_start,week_end,metric_id,baseline_value,current_value,target_value,delta_pct,status,evidence_path,owner,notes
1,2026-03-09,2026-03-15,KPI-12,,,,,,,Compute platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-01,,,,,,,Quality owner,Weekly update
2,2026-03-16,2026-03-22,KPI-02,,,,,,,Quality owner,Weekly update
2,2026-03-16,2026-03-22,KPI-03,,,,,,,Governance owner,Weekly update
2,2026-03-16,2026-03-22,KPI-04,,,,,,,Product platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-05,,,,,,,Physics platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-06,,,,,,,Physics platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-07,,,,,,,Physics platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-08,,,,,,,Quality/governance owner,Weekly update
2,2026-03-16,2026-03-22,KPI-09,,,,,,,Governance owner,Weekly update
2,2026-03-16,2026-03-22,KPI-10,,,,,,,Security owner,Weekly update
2,2026-03-16,2026-03-22,KPI-11,,,,,,,Compute platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-12,,,,,,,Compute platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-01,,,,,,,Quality owner,Weekly update
3,2026-03-23,2026-03-29,KPI-02,,,,,,,Quality owner,Weekly update
3,2026-03-23,2026-03-29,KPI-03,,,,,,,Governance owner,Weekly update
3,2026-03-23,2026-03-29,KPI-04,,,,,,,Product platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-05,,,,,,,Physics platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-06,,,,,,,Physics platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-07,,,,,,,Physics platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-08,,,,,,,Quality/governance owner,Weekly update
3,2026-03-23,2026-03-29,KPI-09,,,,,,,Governance owner,Weekly update
3,2026-03-23,2026-03-29,KPI-10,,,,,,,Security owner,Weekly update
3,2026-03-23,2026-03-29,KPI-11,,,,,,,Compute platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-12,,,,,,,Compute platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-01,,,,,,,Quality owner,Weekly update
4,2026-03-30,2026-04-05,KPI-02,,,,,,,Quality owner,Weekly update
4,2026-03-30,2026-04-05,KPI-03,,,,,,,Governance owner,Weekly update
4,2026-03-30,2026-04-05,KPI-04,,,,,,,Product platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-05,,,,,,,Physics platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-06,,,,,,,Physics platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-07,,,,,,,Physics platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-08,,,,,,,Quality/governance owner,Weekly update
4,2026-03-30,2026-04-05,KPI-09,,,,,,,Governance owner,Weekly update
4,2026-03-30,2026-04-05,KPI-10,,,,,,,Security owner,Weekly update
4,2026-03-30,2026-04-05,KPI-11,,,,,,,Compute platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-12,,,,,,,Compute platform owner,Weekly update
5,2026-04-06,2026-04-12,KPI-01,,,,,,,Quality owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-02,,,,,,,Quality owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-03,,,,,,,Governance owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-04,,,,,,,Product platform owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-05,,,,,,,Physics platform owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-06,,,,,,,Physics platform owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-07,,,,,,,Physics platform owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-08,,,,,,,Quality/governance owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-09,,,,,,,Governance owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-10,,,,,,,Security owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-11,,,,,,,Compute platform owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-12,,,,,,,Compute platform owner,Week-6 final
